amt-buy,amt-sell,average-buy,average-sell,cumulative-amt-sell,cumulative-vol-sell,cumulative_amt-buy,cumulative_vol-buy,last_traded_time,ltp,price-buy,price-sell,sequence-buy,sequence-sell,vol-buy,vol-sell,vol_traded_today
0,310927.5,4147,4150,556100.85,134,2243751.75,541,11-45-13,4145.7,0,4145,5,4,0,75,16268
0,20730.5,0,4146,20730.5,5,0.0,0,11-45-53,4146.1,0,4146,1,1,0,5,16273
82900.0,0,4145,4146,82900.0,20,20730.5,5,11-46-08,4145.0,4145,0,1,1,20,0,16293
0,41461.0,4145,4146,62191.5,15,82900.0,20,11-46-14,4146.1,0,4146,1,1,0,10,16303
41450.0,0,4145,4146,124350.0,30,62191.5,15,11-46-19,4145.0,4145,0,1,1,10,0,16313
0,4146.0,4145,4146,66337.5,16,124350.0,30,11-46-29,4146.0,0,4146,1,1,0,1,16314
41451.5,0,4145,4146,165801.5,40,66337.5,16,11-47-03,4145.15,4145,0,1,1,10,0,16324
29022.350000000002,0,4145,4146,194823.85,47,66337.5,16,11-47-11,4146.05,4146,0,1,1,7,0,16331
4146.3,0,4145,4146,198970.15,48,66337.5,16,11-47-35,4146.3,4146,0,1,1,1,0,16332
87067.05,0,4145,4146,286037.2,69,66337.5,16,11-47-47,4146.05,4146,0,1,1,21,0,16353
53898.65,0,4145,4146,339935.85000000003,82,66337.5,16,11-47-53,4146.05,4146,0,1,1,13,0,16366
24876.300000000003,0,4145,4146,364812.15,88,66337.5,16,11-48-00,4146.05,4146,0,1,1,6,0,16372
20729.25,0,4145,4146,385541.4,93,66337.5,16,11-48-19,4145.85,4145,0,1,1,5,0,16377
0,4147.9,4145,4146,70485.4,17,385541.4,93,11-48-40,4147.9,0,4147,1,1,0,1,16378
45606.55,0,4145,4146,431147.95,104,70485.4,17,11-48-43,4146.05,4146,0,1,1,11,0,16389
936284.1000000001,0,4143,4146,1367432.05,330,70485.4,17,11-48-53,4142.85,4142,0,2,1,226,0,16615
24852.0,0,4143,4146,1392284.05,336,70485.4,17,11-49-02,4142.0,4142,0,2,1,6,0,16621
20705.0,0,4143,4146,1412989.05,341,70485.4,17,11-49-09,4141.0,4141,0,2,1,5,0,16626
0,8290.3,4143,4146,78775.7,19,1412989.05,341,11-50-05,4145.15,0,4145,2,1,0,2,16628
0,20725.75,4143,4145,99501.45,24,1412989.05,341,11-50-10,4145.15,0,4145,2,2,0,5,16633
